name,amenity,lat,lon,opening_hours,website,phone,street,housenumber,postcode,city,osm_type,osm_id
Heimat,pub,49.0199887,12.0919512,Mo-Sa 20:00-02:00,https://www.heimat-regensburg.de/,+49 941 29063881,Am Römling,9,93047,Regensburg,node,318108769
Irish Harp,pub,49.0208415,12.0969389,"Su-Th 18:00-01:00, Fr,Sa 16:00-02:00",,,,,,,node,318108772
Apotheke GbR,pub,49.018994,12.0933471,Mo-Th 10:00-01:00; Fr-Sa 10:00-02:00; Su 18:00-24:00,,+49 941 5843999,Rote-Hahnen-Gasse,8,93047,Regensburg,node,318111735
Hinterhaus,pub,49.0192694,12.0924936,18:00-02:00,https://www.hinterhaus-regensburg.de/,+49 941 60715950,,,,,node,318111737
Freunde der italienischen Oper,pub,49.019063,12.0928089,Tu-Sa 19:00-02:00,,,,,,,node,318111830
Olle Gaffel,pub,49.0188123,12.092429,"Tu-Th 17:00-01:00, Fr 17:00-02:00, Sa,Su 13:00-02:00",,,,,,,node,318111833
Zweigstelle,pub,49.019062,12.093236,"Th,Fr,Sa 20:00-02:00",,,,,,,node,318111834
Central Billard,pub,49.0190793,12.0931316,Mo-Su 19:00-02:00,,,,,,,node,318111836
Wuid & Schee,bar,49.0203765,12.0976892,,,+49 171 3637996,Unter den Schwibbögen,1,93047,Regensburg,node,359841593
Orange Bar,bar,49.0211379,12.0936159,"Tu-Th 20:00-01:00, Fr,Sa 20:00-02:00",http://www.orange-bar-regensburg.de/,,,,,,node,362778890
Kinokneipe,pub,49.0179779,12.1096524,,,,,,,,node,378402551
Clixx Billard & Bar,pub,49.0097342,12.100087,"Mo-Th 18:00-02:00, Fr,Sa 18:00-03:00, Su 14:00-02:00",https://www.clixx-billard.de/,+49 941 504 79 69,Galgenbergstraße,2c,93053,Regensburg,node,457465273
Murphy's Law,pub,49.0177702,12.0939292,"Su-We 18:00-01:00, Th-Sa 18:00-02:00",https://www.murphyslaw-regensburg.de/,+49 941 53295,Spiegelgasse,6,93047,Regensburg,node,506380331
da Silva,bar,49.0166878,12.0959919,"Tu, Th-Sa 21:00-02:00",,,Obermünsterstraße,9,93047,Regensburg,node,542560592
Banane,pub,49.0205828,12.09194,Tu-Sa 18:00-02:00,,,,,,,node,542560735
