name,amenity,lat,lon,opening_hours,street,housenumber,postcode,city
Heimat,pub,49.0199887,12.0919512,Mo-Sa 20:00-02:00,Am Römling,9,93047,Regensburg
Irish Harp,pub,49.0208415,12.0969389,"Su-Th 18:00-01:00, Fr,Sa 16:00-02:00",,,,
Apotheke GbR,pub,49.018994,12.0933471,Mo-Th 10:00-01:00; Fr-Sa 10:00-02:00; Su 18:00-24:00,Rote-Hahnen-Gasse,8,93047,Regensburg
Hinterhaus,pub,49.0192694,12.0924936,18:00-02:00,,,,
Freunde der italienischen Oper,pub,49.019063,12.0928089,Tu-Sa 19:00-02:00,,,,
Olle Gaffel,pub,49.0188123,12.092429,"Tu-Th 17:00-01:00, Fr 17:00-02:00, Sa,Su 13:00-02:00",,,,
Zweigstelle,pub,49.019062,12.093236,"Th,Fr,Sa 20:00-02:00",,,,
Central Billard,pub,49.0190793,12.0931316,Mo-Su 19:00-02:00,,,,
Wuid & Schee,bar,49.0203765,12.0976892,,Unter den Schwibbögen,1,93047,Regensburg
Orange Bar,bar,49.0211379,12.0936159,"Tu-Th 20:00-01:00, Fr,Sa 20:00-02:00",,,,
Kinokneipe,pub,49.0179779,12.1096524,,,,,
Clixx Billard & Bar,pub,49.0097342,12.100087,"Mo-Th 18:00-02:00, Fr,Sa 18:00-03:00, Su 14:00-02:00",Galgenbergstraße,2c,93053,Regensburg
Murphy's Law,pub,49.0177702,12.0939292,"Su-We 18:00-01:00, Th-Sa 18:00-02:00",Spiegelgasse,6,93047,Regensburg
da Silva,bar,49.0166878,12.0959919,"Tu, Th-Sa 21:00-02:00",Obermünsterstraße,9,93047,Regensburg
Banane,pub,49.0205828,12.09194,Tu-Sa 18:00-02:00,,,,
Piratenhöhle,pub,49.0208069,12.0952906,Th-Sa 20:00-02:00,,,,
Flannigan's,bar,49.0210155,12.0940149,"Mo-Th 20:00-02:00, Fr,Sa 19:30-02:00",Baumhackergasse,2,93047,Regensburg
The Byrdcave,bar,49.021261,12.0927913,,,,,
Ka5par,bar,49.0190066,12.0942751,,Hinter der Grieb,5,93047,Regensburg
Escobar,pub,49.0173804,12.0937402,,,,,
Blomberg,bar,49.0189563,12.0890521,Mo-Su 10:00-24:00,Jakobstraße,1,93047,Regensburg
The Artemis Heaven Bar,bar,49.0204928,12.0892111,"Mo,We,Th 14:00-24:00, Fr,Sa 10:00-02:00",Rote-Löwen-Straße,7,93047,Regensburg
Zum Sauseneck,pub,49.0212139,12.0939322,,,,,
Musikbar Sax,pub,49.0178439,12.0931478,"Su-We 20:00-02:00, Th-Sa 20:00-03:00",Hinter der Pfannenschmiede,1,93047,Regensburg
Rotkäppchen,pub,49.0153208,12.0978363,Mo-Su 20:00-02:00,Fröhliche-Türken-Straße,14,93047,Regensburg
